x,y,token,color
9.626308018468539,-10.372418878734239,(CRC).,blue
-11.584000607290582,5.266919591060523,1-acylglycerol-3-phosphate-O-acyltransferase,blue
9.354952465739544,-10.376322624158663,15-LOX-2,blue
-12.689577995676853,-14.463549868814173,1L1,blue
8.862333045102895,-10.542972167245697,20q13-amplified,blue
-10.765499079808391,-8.847962963762198,3-encoded,blue
10.101442115471128,-10.28633304714419,5-LOXAP,blue
-10.805860341634595,-8.982018546074162,5-encoded,blue
-10.522551641289457,5.616598615068635,5q14.3q15,blue
-10.674654368276252,-9.063007307303678,6-encoded,blue
-10.30062211332071,4.427694592168579,A2BP1,blue
8.48197097027048,-9.385206596924773,ABCB5,blue
8.492941552197989,-9.350994115672627,ABCF2,blue
8.312410512345311,-9.321947992227148,ABCG-2,blue
7.950939915537616,-8.976978012264937,ACP6,blue
7.950939915537616,-8.976978012264937,ACP6,blue
-11.375599329599638,-14.241067786613304,ACR1,blue
-11.503363559212133,-14.782342428065213,ACT1,blue
-11.062920193195126,6.94202700402155,ACTA1,blue
-10.73049662725922,7.122148679092865,ACTA2,blue
-10.640335602190792,7.206943717080374,ACTC,blue
-11.075548857606368,4.8970874503998285,ACTN4,blue
-10.350116450201078,5.2300080932089505,ACVR1,blue
7.228780842249112,-8.44837251034309,ACVR2B,blue
7.228780842249112,-8.44837251034309,ACVR2B,blue
-10.93574760038557,6.222276623871256,ACVRL1,blue
-10.93574760038557,6.222276623871256,ACVRL1,blue
8.917893964483564,-10.214846766862278,ADAM23,blue
9.577021328165504,-10.969080308890204,ADAM28,blue
7.462242434152174,-8.803415779831202,ADAMTS16,blue
7.462242434152174,-8.803415779831202,ADAMTS16,blue
8.080515413592781,-9.28953643830032,ADAMTS8,blue
-11.598090943450542,5.3711852290732365,ADAMTSL2,blue
-9.778725231321337,-9.414089347775327,ADK1,blue
10.141342329581489,-11.048283803209591,AEG-1,blue
-11.932048543253746,4.6589879131472545,AFG3L2,blue
-11.800086553561776,5.701529399655874,AGPAT2,blue
9.839518565054432,-10.414398093300045,AGR2,blue
-11.401069556766524,5.682440714540985,AHI1,blue
8.275307515173825,-7.455373744268615,AKT1,blue
8.315073071338416,-7.448515835696109,AKT2,blue
8.272592066241417,-7.488942478036713,AKT3,blue
8.272592066241417,-7.488942478036713,AKT3,blue
-9.702534416490757,-9.036758625185469,ALDH3B1,blue
7.041248808893603,-7.782915535897954,ANGPT4,blue
7.041248808893603,-7.782915535897954,ANGPT4,blue
9.134949847767983,-10.08104548536215,ANGPTL2,blue
-11.167223649849207,6.7037807616361675,ANKH,blue
-10.981457442239147,4.462620476194309,ANKRD1,blue
-10.063504864649564,5.0198054574854005,ANKRD11,blue
7.055383355114115,-9.008434747884612,ANLN,blue
7.055383355114115,-9.008434747884612,ANLN,blue
8.102915113320595,-8.323835446851579,ANPEP,blue
8.102915113320595,-8.323835446851579,ANPEP,blue
-11.264116713556023,4.617592787510692,ANTXR2,blue
8.925935955122677,-9.933572437295043,ANX7,blue
9.330293842908118,-10.056803692039004,ANXA10,blue
8.26717064545472,-9.171009657464106,ANXA10S,blue
8.26717064545472,-9.171009657464106,ANXA10S,blue
9.956159674254405,-10.158654797026704,ANXA2,blue
9.749735861566776,-10.278574358045166,ANXA3,blue
9.973738629538891,-10.10546596604831,ANXA5,blue
8.014103862529002,-7.279360101543229,APAF1,blue
-10.945958373970145,-9.323155808815235,APBA2,blue
6.8411978957014234,-7.844763717048066,API5,blue
-10.840283144101495,-9.521569537638493,ARHGAP10,blue
-10.92541012051424,-9.548705818817046,ARHGAP12,blue
7.082161676746286,-8.290923397014259,ARHGAP5,blue
7.082161676746286,-8.290923397014259,ARHGAP5,blue
-10.372868323050387,4.990828430117869,ARID1B,blue
-11.591696708410936,5.631782828771135,ARIX,blue
-11.441531205472604,-15.388637093247642,ARK3,blue
-11.812184298461903,5.196680013125319,ARL13B,blue
7.08504691807116,-8.392855916232973,ARPC1B,blue
7.08504691807116,-8.392855916232973,ARPC1B,blue
-11.282777827405134,6.0546253871615265,ARX,blue
7.156588431237614,-8.363767917260907,ATF7IP,blue
7.156588431237614,-8.363767917260907,ATF7IP,blue
-10.66743687750652,5.720823530580634,ATOH7,blue
8.673538365703235,-8.66699004017346,ATP4A,blue
8.673538365703235,-8.66699004017346,ATP4A,blue
-10.88783577403361,4.860203969523272,ATRX,blue
-9.698500470432872,7.8389663572007375,ATTR,blue
-10.323675622184416,5.8066839442191505,AUTS2,blue
-11.83293825560005,5.849744436122545,AVP-NPII,blue
-12.298143625365578,-14.461986836073496,Acph-1,blue
-10.191468646806147,-8.863507700783755,Aie1,blue
-10.580706525242151,7.333433823130952,Arg403Gln,blue
-9.83155824179283,7.848686864364653,Asp18Glu,blue
-10.606350072367816,-9.533563598803735,At14a,blue
-10.183353752301722,-8.921614955097292,AtNUC-L1,blue
-10.044317878469842,-9.97974601113557,AtPPT1,blue
-11.710825235474825,-14.346957582207384,Atp8,blue
-10.030613567723243,-9.980389733666982,Aurora-A/STK15/BTAK,blue
-11.520643370917755,-15.542724352528124,AvrP4,blue
